#separator:tab
#html:true
#notetype:Basic
#tags column:3
Co to "prymitywy" w architekturze generatywnej aplikacji i czym różnią się od "funkcjonalności"?	Podstawowe abstrakcje: <b>zdarzenia</b> (zamiast wiadomości), <b>aktorzy</b> (zamiast użytkowników), <b>artefakty</b> (zamiast typowanych dokumentów). Otwarty schemat rośnie bez łamania istniejącej struktury — dodajesz nowy typ, nie ALTER TABLE.	s05e01 primitives schema-flexibility concept
Z jakich trzech wzorców składa się architektura Agent Graph?	<b>Orchestrator</b> — agent LLM dekomponujący zapytanie na zadania i delegujący je.<br><b>Blackboard</b> — współdzielony stan (sesje, aktorzy, zadania, itemy, artefakty).<br><b>DAG Scheduler</b> — deterministyczna logika rozwiązująca zależności między zadaniami.	s05e01 agent-graph multiagent concept
Co to DAG Scheduler i jaką rolę pełni w Agent Graph?	Deterministyczna logika <b>bez LLM</b> zarządzająca cyklem życia zadań: <code>todo → in_progress → done/blocked</code>. Rozwiązuje zależności, promuje <code>waiting → todo</code> gdy dzieci są gotowe, obsługuje auto-retry i stale recovery.	s05e01 dag-scheduler task-management concept
Co to AI Gateway i dlaczego jest "pewniakiem" architektonicznym?	Centralny punkt komunikacji z modelami AI — jak Stripe dla płatności. Pozwala przełączać providerów bez zmian w logice biznesowej. Implementacje: AI SDK, LiteLLM lub własny adapter. "Swap providers by changing the model name."	s05e01 ai-gateway multi-provider concept
Dlaczego polimorficzna tabela items jest lepsza od tabeli messages z role/content?	Tabela <code>messages</code> to zamknięty schemat — dodanie function_call czy reasoning wymaga zmian strukturalnych. Tabela <code>items</code> z polimorficznym <code>type</code> (message, function_call, reasoning...) rozszerza się przez nowy enum — istniejące dane nie są dotknięte.	s05e01 primitives schema-flexibility why
Dlaczego "flat implementation, hierarchical behavior" to lepsza architektura agentów?	Każdy agent (Orchestrator, Researcher, Writer) ma <b>tę samą strukturę</b> w kodzie. Rolę determinują narzędzia i system prompt, nie klasa. Dodanie nowego specjalisty = nowy zestaw narzędzi + prompt, nie nowa klasa w hierarchii.	s05e01 agent-graph flat-implementation why
Dlaczego scheduler zadań powinien być deterministycznym kodem, a nie oparty o LLM?	LLM decyduje <b>CO</b> robić (dekompozycja, delegacja). Scheduler decyduje <b>KIEDY</b> — rozwiązywanie zależności, kolejność wykonania i recovery to logika, gdzie niedeterminizm modelu byłby szkodliwy. Deterministyczny scheduler jest testowalny i przewidywalny.	s05e01 dag-scheduler determinism why
Dlaczego warto wystawiać wyspecjalizowane endpointy zamiast surowego /chat?	Surowy <code>/chat</code> to zaproszenie do prompt injection i brak kontroli nad kosztami. Wyspecjalizowany endpoint ogranicza kontakt z modelem na poziomie API — klient wyraża <b>intencję</b>, nie formułuje prompt. "Express intent, not raw inference."	s05e01 api-design security why
Czatbot zaczyna używać narzędzi. Tabela messages nie obsługuje function_call. Jak przebudować schemat?	Polimorficzna tabela <code>items</code> z polem <code>type</code> (message, function_call, function_call_output, reasoning). Każdy type ma inne opcjonalne pola w content (JSON). Dodanie nowego typu = nowy enum value, nie ALTER TABLE.	s05e01 primitives schema-migration problem
Agent utknął w statusie in_progress po crashu serwera. Jak zapobiec trwałemu blokowaniu?	<b>Stale recovery</b> na starcie sesji: każde zadanie stuck w <code>in_progress</code> resetuj do <code>todo</code>. DAG Scheduler automatycznie je podniesie w następnej rundzie. Proste, deterministyczne, bez ryzyka utraty danych.	s05e01 dag-scheduler stale-recovery problem
Potrzebujesz przełączyć z OpenAI na Anthropic. Jak zorganizować kod, by zmiana dotyczyła jednego parametru?	AI Gateway z domyślnym formatem (np. Responses API) i <b>warstwą mapowań</b> per provider. Router czyta prefix modelu (<code>gpt-*</code>, <code>claude-*</code>, <code>gemini-*</code>) i tłumaczy pola. Twój kod się nie zmienia — swap = zmiana nazwy modelu.	s05e01 multi-provider ai-gateway problem
Budujesz produkt kompensujący słabości obecnego modelu (np. halucynacje). Co z tym nie tak?	Kolejna wersja modelu rozwiąże ten problem lepiej niż Twój produkt — wysiłek się nie zwróci. Buduj wokół wartości, której <b>sam model nie da</b>: dane, kontekst, relacje, domenowa wiedza. "Dalszy rozwój modeli powinien wzmacniać system, nie go zastępować."	s05e01 product-strategy model-evolution antipattern
Projektujesz schemat bazy wokół tabeli messages z kolumnami role i content. Co pójdzie nie tak?	Za miesiąc czatbot stanie się agentem — <code>messages</code> nie obsłuży function_call, reasoning, artefaktów. Każdy nowy typ interakcji wymaga zmian strukturalnych. Zacznij od polimorficznych <code>items</code> z typami zdarzeń — "prosty czatbot szybko zmienia się w agenta."	s05e01 primitives schema-flexibility antipattern
